Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Sri Lanka,18,0,18,9,0,27,88,134,155,377,2,177,"2,044",165,"2,783"
Thailand,2,0,2,5,0,7,58,122,341,521,2,366,"3,974",528,"5,393"
Timor-Leste,0,0,0,0,0,0,8,16,20,44,0,36,"1,393",59,"1,532"
Viet Nam,1,0,1,9,0,10,74,151,280,505,2,253,"3,392",640,"4,793"
Angola,0,0,0,0,0,0,16,44,78,138,0,66,"2,655",228,"3,087"
Benin,0,0,0,0,0,0,15,26,51,92,0,48,"1,748",107,"1,995"
Botswana,0,0,0,0,0,0,4,11,17,32,0,27,"1,111",9,"1,179"
Burkina Faso,0,1,1,0,0,1,7,11,12,30,0,18,817,9,875
Burundi,0,0,0,0,0,0,6,19,32,57,0,38,"1,072",36,"1,203"
Cabo Verde,1,0,1,0,0,1,9,22,39,70,0,30,905,95,"1,101"
Cameroon,0,0,0,6,0,6,67,117,118,302,0,78,"2,704",209,"3,293"
Central African Republic,0,0,0,0,0,0,9,13,24,46,0,27,"1,408",50,"1,531"
Chad,0,1,1,1,0,2,11,11,23,45,0,20,860,13,939
Comoros,0,0,0,1,0,1,7,29,87,123,0,112,"1,344",77,"1,656"
Congo,0,0,0,0,0,0,10,25,67,102,0,50,"2,038",142,"2,332"
"Congo, The Democratic Republic of the",0,0,0,4,0,4,31,84,152,267,0,98,"3,700",423,"4,488"
Côte d'Ivoire,0,0,0,2,0,2,19,49,84,152,0,80,"2,075",138,"2,445"
Djibouti,0,0,0,0,0,0,11,18,86,115,0,119,"1,463",112,"1,809"
Equatorial Guinea,0,0,0,0,0,0,16,35,57,108,0,42,"1,593",113,"1,856"
Eritrea,0,0,0,0,0,0,16,27,104,147,0,134,"1,607",118,"2,006"
Eswatini,0,0,0,0,0,0,4,10,17,31,0,20,883,6,940
Ethiopia,0,0,0,2,0,2,17,41,60,118,0,44,"1,402",63,"1,627"
Gabon,0,0,0,0,0,0,12,37,69,118,0,50,"2,078",165,"2,411"
Gambia,0,0,0,0,0,0,16,23,50,89,0,48,"1,551",112,"1,800"
Ghana,0,0,0,2,0,2,27,35,79,141,0,76,"2,157",132,"2,506"
Guinea,0,0,0,1,0,1,21,58,101,180,0,75,"2,061",148,"2,464"
Guinea-Bissau,0,0,0,0,0,0,13,22,50,85,0,45,"1,522",111,"1,763"
Kenya,2,0,2,18,0,20,56,70,160,286,2,181,"3,388",243,"4,102"
Lesotho,0,0,0,0,0,0,0,8,8,16,0,19,423,3,461
Liberia,0,0,0,2,0,2,22,43,74,139,0,68,"1,809",128,"2,144"
Madagascar,13,0,13,9,0,22,150,318,321,789,2,284,"2,391",433,"3,912"
Malawi,1,0,1,5,0,6,28,28,35,91,0,66,"1,569",59,"1,786"
Mali,0,1,1,0,0,1,7,12,24,43,0,21,986,13,"1,064"
Mauritania,0,1,1,0,0,1,15,28,61,104,0,52,"1,449",119,"1,725"
Mauritius,44,0,44,1,0,45,19,43,124,186,2,117,"1,485",139,"1,973"
Mayotte,5,0,5,0,0,5,2,18,83,103,0,110,"1,208",59,"1,485"
Mozambique,1,0,1,2,0,3,22,63,151,236,2,187,"3,344",223,"3,993"
Namibia,1,0,1,0,0,1,10,33,55,98,0,53,"1,930",96,"2,178"
Niger,0,1,1,0,0,1,6,11,20,37,0,19,733,7,797
Nigeria,0,1,1,3,0,4,28,61,89,178,0,74,"2,500",152,"2,905"
Réunion,20,0,20,1,0,21,10,26,94,130,0,100,"1,303",94,"1,647"
Rwanda,1,0,1,0,0,1,11,16,31,58,0,32,"1,029",19,"1,139"
"Saint Helena, Ascension and Tristan da Cunha",28,0,28,13,0,41,46,58,39,143,0,17,611,52,851
Sao Tome and Principe,0,0,0,0,0,0,9,21,31,61,0,17,741,97,916
Senegal,0,1,1,0,0,1,19,42,73,134,0,64,"1,885",152,"2,236"
Seychelles,20,0,20,29,0,49,86,158,152,396,2,125,"1,623",114,"2,280"
Sierra Leone,0,0,0,1,0,1,20,39,72,131,0,67,"1,867",140,"2,205"
Somalia,0,0,0,1,0,1,16,35,108,159,0,144,"2,307",188,"2,798"
South Africa,6,0,6,6,0,12,85,178,213,476,2,189,"3,720",340,"4,733"
South Sudan,0,0,0,0,0,0,6,16,22,44,0,20,"1,117",21,"1,202"
Sudan,0,1,1,0,0,1,18,28,100,146,0,130,"2,161",135,"2,573"
"Tanzania, United Republic of",2,1,3,61,1,65,128,158,261,547,0,221,"3,994",351,"5,116"
