Year,Threatened_category,Classification_organism,Number_of_Species
2018,EN,Fishes,674
2018,VU,Fishes,1172
2018,CR,  Insects,300
2018,EN,  Insects,537
2018,VU,  Insects,700
2018,CR,Molluscs,633
2018,EN,Molluscs,546
2018,VU,Molluscs,1016
2018,CR,Other invertebrates,252
2018,EN,Other invertebrates,348
2018,VU,Other invertebrates,708
2018,CR,Plants,2879
2018,EN,Plants,4537
2018,VU,Plants,5883
2018,CR,Fungi &protists,14
2018,EN,Fungi &protists,21
2018,VU,Fungi &protists,24
2018,CR,TOTAL,5826
2018,EN,TOTAL,9032
2018,VU,TOTAL,11982
2019,CR,Mammals,203
2019,EN,Mammals,505
2019,VU,Mammals,536
2019,CR,Birds,225
2019,EN,Birds,461
2019,VU,Birds,800
2019,CR,Amphibians,588
2019,EN,Amphibians,964
2019,VU,Amphibians,648
2019,CR,Fishes,592
2019,EN,Fishes,868
2019,VU,Fishes,1214
2019,CR,  Insects,311
2019,EN,  Insects,571
2019,VU,  Insects,765
2019,CR,Molluscs,667
2019,EN,Molluscs,564
2019,VU,Molluscs,1019
2019,CR,Other invertebrates,270
2019,EN,Other invertebrates,344
2019,VU,Other invertebrates,710
2019,CR,Plants,3229
2019,EN,Plants,5727
2019,VU,Plants,6818
2019,CR,Fungi &protists,19
2019,EN,Fungi &protists,60
2019,VU,Fungi &protists,91
2019,CR,TOTAL,6413
2019,EN,TOTAL,10629
2019,VU,TOTAL,13136
2020,CR,Mammals,221
2020,EN,Mammals,539
2020,VU,Mammals,557
2020,CR,Birds,223
2020,EN,Birds,460
2020,VU,Birds,798
2020,CR,Amphibians,650
2020,EN,Amphibians,1036
2020,VU,Amphibians,704
2020,CR,Fishes,666
2020,EN,Fishes,1036
2020,VU,Fishes,1338
2020,CR,  Insects,347
2020,EN,  Insects,690
2020,VU,  Insects,811
2020,CR,Molluscs,682
2020,EN,Molluscs,586
2020,VU,Molluscs,1032
2020,CR,Other invertebrates,282
2020,EN,Other invertebrates,347
2020,VU,Other invertebrates,712
2020,CR,Plants,4337
2020,EN,Plants,7925
2020,VU,Plants,8098
2020,CR,Fungi &protists,30
2020,EN,Fungi &protists,82
2020,VU,Fungi &protists,127
2020,CR,TOTAL,7762
2020,EN,TOTAL,13285
2020,VU,TOTAL,14718
