,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
149,Peru,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,fungus
150,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
151,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus
152,"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,fungus
153,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
154,Bhutan,0,0,0,0,0,0,0,0,2,2,0,0,2,0,4,fungus
155,British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
156,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
157,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
158,Disputed Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
159,India,0,0,0,0,0,0,0,1,2,3,0,2,12,0,17,fungus
160,Indonesia,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,fungus
161,Lao People's Democratic Republic,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,fungus
162,Malaysia,0,0,0,0,0,0,0,2,2,4,0,0,1,1,6,fungus
163,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
164,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
165,Nepal,0,0,0,0,0,0,0,0,2,2,0,0,3,0,5,fungus
166,Philippines,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,fungus
167,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
168,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
169,Thailand,0,0,0,0,0,0,0,1,0,1,0,0,3,0,4,fungus
170,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
171,Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
172,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
