Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHS
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DOM
Grenada,0,0,0,0,0,0,10,14,38,62,0,28,"1,252",72,"1,414",animal,GRD
Grenada,0,0,0,0,0,0,0,1,3,4,0,3,173,0,180,plant,GRD
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRD
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHR
Guadeloupe,7,0,7,2,0,9,13,20,42,75,0,36,"1,235",70,"1,423",animal,GLP
Guadeloupe,0,0,0,0,0,0,0,3,8,11,0,2,243,2,258,plant,GLP
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GLP
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BGD
Haiti,10,0,10,13,0,23,61,53,66,180,0,54,"1,406",75,"1,725",animal,HTI
Haiti,1,0,1,18,0,19,52,44,39,135,0,7,406,20,569,plant,HTI
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HTI
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BRB
Jamaica,3,0,3,5,0,8,25,41,45,111,0,46,"1,328",79,"1,567",animal,JAM
Jamaica,2,0,2,0,0,2,43,54,118,215,0,76,416,7,716,plant,JAM
Belarus,0,0,0,0,0,0,0,1,2,3,0,2,7,0,12,fungus,BLR
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,JAM
Martinique,6,0,6,3,0,9,10,15,29,54,0,27,"1,209",61,"1,357",animal,MTQ
Martinique,0,0,0,0,0,0,0,3,7,10,0,3,237,2,252,plant,MTQ
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MTQ
Belgium,0,0,0,0,0,0,0,2,21,23,0,7,38,0,68,fungus,BEL
Montserrat,0,0,0,1,0,1,9,12,36,57,0,26,"1,169",58,"1,310",animal,MSR
Montserrat,0,0,0,1,0,1,3,1,3,7,0,1,156,0,164,plant,MSR
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MSR
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BLZ
Puerto Rico,5,0,5,4,0,9,19,23,40,82,0,41,"1,495",85,"1,708",animal,PRI
Puerto Rico,0,0,0,0,0,0,23,23,22,68,0,17,396,4,485,plant,PRI
Benin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,BEN
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PRI
Saint Barthélemy,0,0,0,0,0,0,6,10,27,43,0,14,815,38,910,animal,BLM
Saint Barthélemy,0,0,0,0,0,0,0,1,1,2,0,1,86,0,89,plant,BLM
Saint Barthélemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BLM
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BMU
Saint Kitts and Nevis,1,0,1,0,0,1,10,11,37,58,0,29,"1,225",65,"1,378",animal,KNA
