,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
177,Cabo Verde,2,0,2,0,0,2,17,27,7,51,0,7,80,9,149,plant
178,Cameroon,1,0,1,8,1,10,138,225,326,689,2,76,"1,461",32,"2,261",plant
179,Central African Republic,0,0,0,0,0,0,2,13,22,37,1,10,968,7,"1,023",plant
180,Chad,0,0,0,0,0,0,1,2,4,7,0,2,567,4,580,plant
181,Comoros,0,0,0,0,0,0,2,5,5,12,0,0,143,0,155,plant
182,Congo,0,0,0,0,0,0,1,19,48,68,1,15,977,5,"1,066",plant
183,"Congo, The Democratic Republic of the",2,0,2,4,0,6,16,86,143,245,3,50,"1,636",43,"1,979",plant
184,Côte d'Ivoire,2,0,2,1,0,3,5,30,104,139,1,36,"1,075",10,"1,263",plant
185,Djibouti,0,0,0,0,0,0,0,2,1,3,0,0,121,0,124,plant
186,Equatorial Guinea,0,0,0,0,0,0,2,38,78,118,0,31,628,8,785,plant
187,Eritrea,0,0,0,0,0,0,0,2,4,6,0,6,262,2,276,plant
188,Eswatini,0,1,1,0,0,1,2,4,9,15,0,5,517,4,542,plant
189,Ethiopia,0,0,0,3,0,3,10,26,29,65,1,29,895,19,"1,009",plant
190,Gabon,0,0,0,6,0,6,50,104,160,314,1,45,"1,026",16,"1,402",plant
191,Gambia,0,0,0,0,0,0,0,1,7,8,0,2,365,1,376,plant
192,Ghana,0,0,0,0,0,0,3,31,93,127,1,24,"1,048",7,"1,207",plant
193,Guinea,0,0,0,14,0,14,32,87,75,194,1,31,909,13,"1,148",plant
194,Guinea-Bissau,0,0,0,0,0,0,1,1,10,12,0,8,524,2,546,plant
195,Kenya,0,0,0,2,0,2,29,127,169,325,1,75,"1,291",22,"1,714",plant
196,Lesotho,0,0,0,0,0,0,0,2,3,5,0,1,185,1,192,plant
197,Liberia,0,0,0,1,0,1,5,29,68,102,0,20,724,4,850,plant
198,Madagascar,0,1,1,101,7,109,499,"1,343",852,"2,694",0,212,"1,455",85,"4,447",plant
199,Malawi,0,0,0,0,0,0,1,21,24,46,1,11,"1,008",24,"1,090",plant
200,Mali,0,0,0,0,0,0,3,14,11,28,0,9,642,12,691,plant
201,Mauritania,0,0,0,0,0,0,0,0,0,0,0,2,234,0,236,plant
