,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
106,420,420,105,Saint Pierre and Miquelon,0,0,0,0,0,0,2,4,16,22,0,16,403,17,458,animal,SPM
107,424,424,106,United States,237,4,241,29,0,270,224,298,566,"1,088",5,336,"5,719",609,"7,998",animal,USA
108,428,428,107,Belarus,0,0,0,0,0,0,3,2,21,26,0,38,482,8,554,animal,BLR
109,436,436,109,Russian Federation,3,1,4,2,0,6,28,49,111,188,0,118,"1,735",233,"2,278",animal,RUS
110,440,440,110,Ukraine,2,0,2,1,0,3,12,26,56,94,0,66,889,78,"1,129",animal,UKR
111,444,444,111,American Samoa,1,0,1,0,0,1,3,20,77,100,3,82,"1,248",57,"1,491",animal,ASM
112,448,448,112,Australia,42,0,42,7,0,49,138,255,613,"1,006",3,442,"5,868",661,"8,022",animal,AUS
113,452,452,113,Christmas Island,4,2,6,1,0,7,3,16,30,49,0,29,939,31,"1,054",animal,CXR
114,456,456,114,Cocos (Keeling) Islands,0,0,0,0,0,0,1,13,33,47,0,26,842,31,946,animal,CCK
115,460,460,115,Cook Islands,15,0,15,0,0,15,1,15,53,69,1,52,"1,011",50,"1,198",animal,COK
116,464,464,116,Fiji,1,0,1,5,0,6,28,52,166,246,3,163,"1,809",132,"2,354",animal,FJI
117,468,468,117,French Polynesia,60,11,71,2,0,73,46,26,67,139,2,62,"1,290",107,"1,671",animal,PYF
118,472,472,118,Guam,5,1,6,0,0,6,8,26,72,106,2,91,"1,220",105,"1,530",animal,GUM
119,476,476,119,Kiribati,1,0,1,0,0,1,0,17,96,113,3,117,"1,277",63,"1,574",animal,KIR
120,480,480,120,Marshall Islands,0,0,0,0,0,0,1,14,94,109,3,118,"1,325",63,"1,618",animal,MHL
121,484,484,121,"Micronesia, Federated States of",2,0,2,1,0,3,6,29,139,174,3,148,"1,641",126,"2,094",animal,FSM
122,488,488,122,Nauru,0,0,0,0,0,0,1,10,79,90,0,110,"1,032",39,"1,271",animal,NRU
123,492,492,123,New Caledonia,5,0,5,3,0,8,41,56,159,256,3,163,"2,187",182,"2,796",animal,NCL
124,496,496,124,New Zealand,23,0,23,7,0,30,45,77,109,231,0,66,"1,066",210,"1,596",animal,NZL
125,500,500,125,Niue,0,0,0,0,0,0,1,13,44,58,0,54,885,34,"1,031",animal,NIU
126,504,504,126,Norfolk Island,8,0,8,0,0,8,2,11,36,49,0,28,637,27,749,animal,NFK
127,508,508,127,Northern Mariana Islands,2,0,2,0,0,2,9,24,72,105,3,91,"1,293",70,"1,564",animal,MNP
