,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
158,Disputed Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
159,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
160,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
161,Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
162,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
163,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
164,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
165,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
166,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
167,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
168,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
169,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
170,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
171,Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
172,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
173,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
174,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
175,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
176,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
177,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
178,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
179,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
180,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
181,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
182,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
183,"Congo, The Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
184,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
185,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
186,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
187,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
188,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
189,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
190,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
191,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
192,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
193,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
194,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
195,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
196,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
197,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
198,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
199,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
200,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
201,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
202,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
203,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
204,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
205,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
206,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
207,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
208,Réunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
209,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
210,"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
211,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
212,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
213,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
214,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
215,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
216,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
217,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
218,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
219,"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
220,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
221,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
222,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
223,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
224,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
225,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
226,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
227,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
228,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
229,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
230,"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
231,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
232,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
233,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
234,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
235,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
236,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
237,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
238,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
239,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
240,"Palestine, State of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
241,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
242,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
243,Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
244,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
245,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
246,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
247,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
248,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
249,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
