,Unnamed: 0,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
187,46,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BEL
188,47,Bosnia and Herzegovina,0,0,0,0,0,0,9,29,62,100,0,69,908,89,"1,166",animal,BIH
189,47,Bosnia and Herzegovina,0,0,0,0,0,0,1,2,2,5,0,7,370,22,404,plant,BIH
190,113,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CXR
191,47,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BIH
192,48,Bulgaria,0,0,0,0,0,0,16,19,73,108,0,86,938,72,"1,204",animal,BGR
193,48,Bulgaria,0,0,0,0,0,0,1,4,8,13,0,10,510,47,580,plant,BGR
194,114,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CCK
195,48,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BGR
196,49,Croatia,1,0,1,3,0,4,34,42,105,181,0,99,"1,208",124,"1,613",animal,HRV
197,49,Croatia,1,0,1,0,0,1,1,6,4,11,0,11,513,36,572,plant,HRV
198,143,Colombia,0,0,0,0,0,0,1,0,4,5,0,5,8,0,18,fungus,COL
199,49,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HRV
200,50,Czechia,0,0,0,0,0,0,4,10,31,45,0,55,706,39,845,animal,CZE
201,50,Czechia,0,0,0,0,0,0,10,14,7,31,0,5,408,25,469,plant,CZE
202,181,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COM
203,50,Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CZE
204,51,Denmark,0,0,0,0,0,0,7,9,36,52,0,42,688,32,814,animal,DNK
205,51,Denmark,0,0,0,0,0,0,0,0,2,2,0,4,321,9,336,plant,DNK
206,182,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COG
207,51,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DNK
208,52,Estonia,0,0,0,0,0,0,2,4,17,23,0,29,517,9,578,animal,EST
209,52,Estonia,0,0,0,0,0,0,1,0,1,2,0,1,256,4,263,plant,EST
210,183,"Congo, The Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,COD
211,52,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,EST
212,53,Faroe Islands,1,0,1,0,0,1,3,5,19,27,0,16,300,20,364,animal,FRO
213,53,Faroe Islands,0,0,0,0,0,0,0,0,1,1,0,0,89,0,90,plant,FRO
214,115,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COK
215,53,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FRO
216,54,Finland,0,0,0,0,0,0,4,3,23,30,0,38,537,14,619,animal,FIN
217,54,Finland,0,0,0,0,0,0,0,1,3,4,0,2,330,10,346,plant,FIN
218,91,Costa Rica,0,0,0,0,0,0,0,0,4,4,0,5,5,0,14,fungus,CRI
219,54,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FIN
220,55,France,8,0,8,6,0,14,30,63,169,262,0,159,"1,943",287,"2,659",animal,FRA
221,55,France,1,1,2,0,0,2,8,22,33,63,0,42,798,40,945,plant,FRA
222,49,Croatia,0,0,0,0,0,0,0,5,19,24,0,8,19,1,52,fungus,HRV
223,55,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FRA
